party_name,un_share
Algeria,0.087
Egypt,0.182
Libya,0.04
Morocco,0.059
Sudan,0.008
Tunisia,0.018
Burundi,0.001
Comoros,0.001
Djibouti,0.002
Eritrea,0.001
Ethiopia,0.01
Kenya,0.037
Madagascar,0.004
Malawi,0.003
Mauritius,0.01
Mozambique,0.002
Rwanda,0.003
Seychelles,0.002
Somalia,0.002
South Sudan,0.005
Uganda,0.01
Zambia,0.006
Zimbabwe,0.007
Angola,0.01
Cameroon,0.014
Central African Republic,0.001
Chad,0.005
Congo,0.005
Democratic Republic of the Congo,0.01
Equatorial Guinea,0.008
Gabon,0.011
Botswana,0.013
Eswatini,0.002
Lesotho,0.001
Namibia,0.007
South Africa,0.251
Benin,0.005
Burkina Faso,0.005
Cabo Verde,0.001
Côte d’Ivoire,0.024
Gambia,0.001
Ghana,0.025
Guinea,0.004
Guinea-Bissau,0.001
Liberia,0.001
Mali,0.005
Mauritania,0.003
Niger,0.004
Nigeria,0.15
Senegal,0.007
Sierra Leone,0.001
Togo,0.002
Antigua and Barbuda,0.002
Barbados,0.007
Cuba,0.122
Dominica,0.001
Dominican Republic,0.069
Grenada,0.001
Haiti,0.006
Jamaica,0.007
Saint Kitts and Nevis,0.001
Trinidad and Tobago,0.033
Belize,0.001
El Salvador,0.013
Guatemala,0.046
Honduras,0.01
Mexico,1.137
Nicaragua,0.004
Argentina,0.49
Brazil,1.411
Colombia,0.197
Ecuador,0.065
Guyana,0.011
Paraguay,0.023
Peru,0.145
Suriname,0.002
Kazakhstan,0.131
Kyrgyzstan,0.003
Tajikistan,0.003
Turkmenistan,0.036
Uzbekistan,0.024
China,20.004
Mongolia,0.004
Cambodia,0.008
Indonesia,0.579
Malaysia,0.326
Myanmar,0.01
Philippines,0.198
Singapore,0.479
Thailand,0.341
Timor-Leste,0.001
Afghanistan,0.005
Bangladesh,0.01
Bhutan,0.001
India,1.106
Iran (Islamic Republic of),0.386
Maldives,0.004
Nepal,0.01
Pakistan,0.123
Sri Lanka,0.038
Armenia,0.007
Azerbaijan,0.034
Georgia,0.009
Iraq,0.131
Jordan,0.021
Lebanon,0.022
Syrian Arab Republic,0.006
Türkiye,0.685
Belarus,0.043
Republic of Moldova,0.006
Ukraine,0.074
Albania,0.01
Bosnia and Herzegovina,0.014
Montenegro,0.004
North Macedonia,0.008
Serbia,0.04
Fiji,0.003
Papua New Guinea,0.009
Solomon Islands,0.001
Vanuatu,0.001
Kiribati,0.001
Marshall Islands,0.001
Micronesia (Federated States of),0.001
Nauru,0.001
Palau,0.001
Samoa,0.001
Tonga,0.001
Tuvalu,0.001
United Republic of Tanzania,0.01
Sao Tome and Principe,0.001
Bahamas,0.015
Saint Lucia,0.002
Saint Vincent and the Grenadines,0.001
Bolivia (Plurinational State of),0.018
Venezuela (Bolivarian Republic of),0.069
Democratic People's Republic of Korea,0.005
Lao People's Democratic Republic,0.006
Viet Nam,0.159
Yemen,0.003
State of Palestine,0.0
Cook Islands,0.0
Niue,0.0
